% email: Storkey results
% Storkey - T1 two clusters, 100 10
% p = 0.4
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	32	29.684375	0.308073	49.000000	0.000000
0.05	32	29.684375	0.308073	4.403125	0.560233
0.1	32	29.684375	0.308073	4.393750	1.222883
0.15	32	29.684375	0.308073	6.984375	1.981871
0.2	32	29.684375	0.308073	12.537500	3.299633
0.25	32	29.684375	0.308073	20.543750	2.834231
0.3	32	29.684375	0.308073	26.762500	1.318785
0.35	32	29.684375	0.308073	28.959375	0.689020
0.4	32	29.684375	0.308073	29.718750	0.274082
0.45	32	29.684375	0.308073	29.865625	0.348832
0.5	32	29.684375	0.308073	29.909375	0.317611
