% email: Storkey results
% Storkey - T2 two clusters, 100 10
% stddev = 5
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	30	6.013333	2.638016	49.000000	0.000000
1.0	30	6.013333	2.638016	16.640000	7.997870
2.0	30	6.013333	2.638016	10.363333	5.229919
3.0	30	6.013333	2.638016	8.490000	4.488940
4.0	30	6.013333	2.638016	6.983333	3.797829
5.0	30	6.013333	2.638016	7.153333	2.851827
6.0	30	6.013333	2.638016	6.543333	2.359965
7.0	30	6.013333	2.638016	7.883333	3.163268
8.0	30	6.013333	2.638016	7.510000	3.299357
9.0	30	6.013333	2.638016	8.103333	2.959553
10.0	30	6.013333	2.638016	7.933333	2.711576
11.0	30	6.013333	2.638016	8.050000	2.602618
12.0	30	6.013333	2.638016	8.680000	2.704326
13.0	30	6.013333	2.638016	8.500000	2.558690
14.0	30	6.013333	2.638016	9.346667	2.735177
15.0	30	6.013333	2.638016	9.830000	2.850185
16.0	30	6.013333	2.638016	10.086667	2.451141
17.0	30	6.013333	2.638016	10.730000	3.006791
18.0	30	6.013333	2.638016	10.963333	3.058339
19.0	30	6.013333	2.638016	11.430000	2.459486
20.0	30	6.013333	2.638016	11.876667	3.224762
