% email: Results for one cluster
% T1 ; probably 100 neurons
key	n	mean	stddev
0.0	62	49.000000	0.000000
5.0e-2	24	4.750000	0.051075
0.1	24	4.800000	1.634413
0.12	38	4.750000	1.976176
0.15000000000000002	24	6.350000	3.626353
0.18	38	11.050000	4.003023
0.20000000000000004	24	14.250000	1.889789
0.24	38	22.000000	0.304027
0.25000000000000006	24	23.150000	0.153226
0.3	38	26.850000	0.760068
0.30000000000000004	24	26.850000	0.766131
0.35000000000000003	24	28.850000	0.459679
0.36	38	29.050000	0.354698
0.4	24	29.750000	0.357528
0.42	38	30.050000	0.152014
0.45	24	29.800000	0.102151
0.48	38	29.800000	0.304027
0.5	24	29.800000	0.000000
0.54	38	29.750000	0.456041
0.55	24	29.900000	0.306452
0.6000000000000001	62	29.700000	0.201633
